H	Summary
H	SCFiller:false
H	path	/data/2/rpark/ip2_data//ehall/Kiskinis_Lab_NU/EXP19_CYT_050316_2016_05_03_09_33950/search/projects2016_05_09_15_84074/
H	path	/data/2/rpark/ip2_data//ehall/Kiskinis_Lab_NU/EXP19_NUC_050316_2016_05_03_09_33951/search/projects2016_05_09_16_84075/
SLine	dataset	intersection	intersection	unique	all_union
S	dataset	EXP19_CYT_050316(searched:2016-05-09)	EXP19_NUC_050316(searched:2016-05-09)
S	EXP19_CYT_050316(searched:2016-05-09)	6984	3077	3907	9068	
S	EXP19_NUC_050316(searched:2016-05-09)	3077	5161	2084	9068	


S	CumulativeProteinCounts	6984	9068	

PLine	Accession	peptide_count_EXP19_CYT_050316(searched:2016-05-09)	peptide_count_EXP19_NUC_050316(searched:2016-05-09)	NSAF_EXP19_CYT_050316(searched:2016-05-09)	NSAF_EXP19_NUC_050316(searched:2016-05-09)	EMPAI_EXP19_CYT_050316(searched:2016-05-09)	EMPAI_EXP19_NUC_050316(searched:2016-05-09)	spectral_count_EXP19_CYT_050316(searched:2016-05-09)	spectral_count_EXP19_NUC_050316(searched:2016-05-09)	seqcov_EXP19_CYT_050316(searched:2016-05-09)	seqcov_EXP19_NUC_050316(searched:2016-05-09)	description	occurrence	status
P	O14639-3	4	0	9.881822E-5	0	0.2618276	0	5	0	10.1%	0	Isoform 3 of Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 	1	1_0_	1_0_
P	Q9UH99	0	2	0	3.676128E-5	0	0.061695576	0	2	0	2.6%	SUN domain-containing protein 2 OS=Homo sapiens GN=SUN2 PE=1 SV=3 	1	0_1_	0_1_
P	O00429-2	52	14	7.3332665E-4	2.726673E-4	1.4099054	0.5958791	63	15	38.2%	20.3%	Isoform 4 of Dynamin-1-like protein OS=Homo sapiens GN=DNM1L 	2	1_1_	1_1_
P	O14639-4	4	0	1.0522539E-4	0	0.27938128	0	5	0	10.7%	0	Isoform 4 of Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 	1	1_0_	1_0_
P	O00429-3	52	14	7.488194E-4	2.7842788E-4	1.4547088	0.61064565	63	15	39.0%	20.7%	Isoform 2 of Dynamin-1-like protein OS=Homo sapiens GN=DNM1L 	2	1_1_	1_1_
P	O14639-5	4	0	9.27371E-5	0	0.24451458	0	5	0	9.5%	0	Isoform 5 of Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 	1	1_0_	1_0_
P	O00429-4	52	14	7.6060346E-4	2.8280943E-4	1.4888573	0.6218101	63	15	39.6%	21.0%	Isoform 3 of Dynamin-1-like protein OS=Homo sapiens GN=DNM1L 	2	1_1_	1_1_
P	O00429-5	52	14	7.488194E-4	2.7842788E-4	1.4547088	0.61064565	63	15	39.0%	20.7%	Isoform 5 of Dynamin-1-like protein OS=Homo sapiens GN=DNM1L 	2	1_1_	1_1_
P	O00429-6	52	14	7.0982886E-4	2.639303E-4	1.3442287	0.5703628	63	15	37.0%	19.6%	Isoform 6 of Dynamin-1-like protein OS=Homo sapiens GN=DNM1L 	2	1_1_	1_1_
P	P35579	208	212	0.0011797483	0.0018558071	1.6424088	1.7164392	274	276	42.2%	43.4%	Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4 	2	1_1_	1_1_
P	P35580	115	140	5.9363944E-4	0.0011271444	1.0796967	1.1627185	139	169	31.8%	33.5%	Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3 	2	1_1_	1_1_
P	O14639-2	4	18	5.8767942E-5	3.8545587E-4	0.14815366	0.51356125	5	21	6.0%	18.0%	Isoform 2 of Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 	2	1_1_	1_1_
P	tr|Q5JXX3|Q5JXX3_HUMAN	0	1	0	7.403888E-5	0	0.29419577	0	1	0	11.2%	Mortality factor 4-like protein 2 (Fragment) OS=Homo sapiens GN=MORF4L2 PE=2 SV=1 	1	0_1_	0_1_
P	Reverse_sp|Q8NDA2|HMCN2_HUMAN	1	0	1.6661553E-6	0	0.0069316626	0	1	0	0.3%	0	Hemicentin-2 OS=Homo sapiens GN=HMCN2 PE=2 SV=2 	1	1_0_	1_0_
P	Q9UH62	5	2	1.3360016E-4	6.954576E-5	0.27643883	0.101539254	6	2	10.6%	4.2%	Armadillo repeat-containing X-linked protein 3 OS=Homo sapiens GN=ARMCX3 PE=1 SV=1 	2	1_1_	1_1_
P	tr|G3V4C1|G3V4C1_HUMAN	7	31	2.8900945E-4	0.001895598	0.3614447	1.4547088	10	42	13.4%	39.0%	Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=2 SV=1 	2	1_1_	1_1_
P	Q9UGU5	0	1	0	2.1928317E-5	0	0.06659615	0	1	0	2.8%	HMG domain-containing protein 4 OS=Homo sapiens GN=HMGXB4 PE=1 SV=2 	1	0_1_	0_1_
P	Q14409	1	0	1.5260535E-5	0	0.10407865	0	1	0	4.3%	0	Putative glycerol kinase 3 OS=Homo sapiens GN=GK3P PE=5 SV=2 	1	1_0_	1_0_
P	Q9UH73	0	1	0	2.2299357E-5	0	0.08893013	0	1	0	3.7%	Transcription factor COE1 OS=Homo sapiens GN=EBF1 PE=1 SV=2 	1	0_1_	0_1_
P	Q8IXI2-7	1	0	1.2805882E-5	0	0.035142183	0	1	0	1.5%	0	Isoform 7 of Mitochondrial Rho GTPase 1 OS=Homo sapiens GN=RHOT1 	1	1_0_	1_0_
P	Q8IXI2-3	1	0	1.2212845E-5	0	0.032761455	0	1	0	1.4%	0	Isoform 3 of Mitochondrial Rho GTPase 1 OS=Homo sapiens GN=RHOT1 	1	1_0_	1_0_
P	Q8IXI2-2	1	0	1.2983194E-5	0	0.035142183	0	1	0	1.5%	0	Isoform 2 of Mitochondrial Rho GTPase 1 OS=Homo sapiens GN=RHOT1 	1	1_0_	1_0_
P	Q8IXI2-5	1	0	1.3502521E-5	0	0.037528396	0	1	0	1.6%	0	Isoform 5 of Mitochondrial Rho GTPase 1 OS=Homo sapiens GN=RHOT1 	1	1_0_	1_0_
P	Q8IXI2-4	1	0	1.4550131E-5	0	0.03992021	0	1	0	1.7%	0	Isoform 4 of Mitochondrial Rho GTPase 1 OS=Homo sapiens GN=RHOT1 	1	1_0_	1_0_
P	Q9BR76	8	26	2.070939E-4	0.0011319318	0.5776112	0.8113401	12	42	19.8%	25.8%	Coronin-1B OS=Homo sapiens GN=CORO1B PE=1 SV=1 	2	1_1_	1_1_
P	Q96MM7-4	1	1	1.3083839E-5	2.0432433E-5	0.059253693	0.044720173	1	1	2.5%	1.9%	Isoform 4 of Heparan-sulfate 6-O-sulfotransferase 2 OS=Homo sapiens GN=HS6ST2 	2	1_1_	1_1_
P	Q13190-3	5	1	1.8964216E-4	4.935925E-5	0.46217716	0.16680968	6	1	16.5%	6.7%	Isoform 3 of Syntaxin-5 OS=Homo sapiens GN=STX5 	2	1_1_	1_1_
P	Q13190-2	5	1	1.682208E-4	4.3783784E-5	0.39958727	0.14815366	6	1	14.6%	6.0%	Isoform 2 of Syntaxin-5 OS=Homo sapiens GN=STX5 	2	1_1_	1_1_
P	Q96MM7-2	1	1	1.8385786E-5	2.8712242E-5	0.083926916	0.061695576	1	1	3.5%	2.6%	Isoform 2 of Heparan-sulfate 6-O-sulfotransferase 2 OS=Homo sapiens GN=HS6ST2 	2	1_1_	1_1_
P	Q96MM7-3	1	1	1.6911976E-5	2.641066E-5	0.07646525	0.05681753	1	1	3.2%	2.4%	Isoform 3 of Heparan-sulfate 6-O-sulfotransferase 2 OS=Homo sapiens GN=HS6ST2 	2	1_1_	1_1_
P	P28066	8	3	3.5016914E-4	1.6405295E-4	0.72583795	0.12201846	10	3	23.7%	5.0%	Proteasome subunit alpha type-5 OS=Homo sapiens GN=PSMA5 PE=1 SV=3 	2	1_1_	1_1_
P	Q13330-3	0	13	0	2.6433362E-4	0	0.27350307	0	14	0	10.5%	Isoform 3 of Metastasis-associated protein MTA1 OS=Homo sapiens GN=MTA1 	1	0_1_	0_1_
P	Q9UFF9	2	0	5.780189E-5	0	0.09900582	0	2	0	4.1%	0	CCR4-NOT transcription complex subunit 8 OS=Homo sapiens GN=CNOT8 PE=1 SV=1 	1	1_0_	1_0_
P	Q13330-2	0	13	0	4.290811E-4	0	0.47910845	0	14	0	17.0%	Isoform Short of Metastasis-associated protein MTA1 OS=Homo sapiens GN=MTA1 	1	0_1_	0_1_
P	P28074	7	2	3.208774E-4	1.5032988E-4	0.56314766	0.25602996	10	3	19.4%	9.9%	Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=1 SV=3 	2	1_1_	1_1_
P	tr|Q8WU40|Q8WU40_HUMAN	0	7	0	2.6183284E-4	0	0.41253757	0	9	0	15.0%	CAMK2G protein (Fragment) OS=Homo sapiens GN=CAMK2G PE=2 SV=2 	1	0_1_	0_1_
P	P28070	17	10	0.0011507832	5.4912164E-4	1.4322038	1.118361	36	11	38.6%	32.6%	Proteasome subunit beta type-4 OS=Homo sapiens GN=PSMB4 PE=1 SV=4 	2	1_1_	1_1_
P	P33240	0	20	0	6.6237204E-4	0	0.7823788	0	29	0	25.1%	Cleavage stimulation factor subunit 2 OS=Homo sapiens GN=CSTF2 PE=1 SV=1 	1	0_1_	0_1_
P	Q8TBX8	0	2	0	6.2607694E-5	0	0.05681753	0	2	0	2.4%	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma OS=Homo sapiens GN=PIP4K2C PE=1 SV=3 	1	0_1_	0_1_
P	tr|K7EQ17|K7EQ17_HUMAN	0	6	0	2.1256322E-4	0	0.16412604	0	9	0	6.6%	Nucleolar protein 4 (Fragment) OS=Homo sapiens GN=NOL4 PE=2 SV=1 	1	0_1_	0_1_
P	tr|K7EPP7|K7EPP7_HUMAN	1	0	3.3356035E-5	0	0.17760599	0	1	0	7.1%	0	DnaJ homolog subfamily C member 7 OS=Homo sapiens GN=DNAJC7 PE=2 SV=1 	1	1_0_	1_0_
P	tr|F6VVD0|F6VVD0_HUMAN	0	1	0	5.8056914E-5	0	0.14024973	0	1	0	5.7%	UAP56-interacting factor OS=Homo sapiens GN=FYTTD1 PE=2 SV=1 	1	0_1_	0_1_
P	tr|E5RJN7|E5RJN7_HUMAN	8	7	2.1097691E-4	3.29473E-4	0.25025904	0.24165225	8	8	9.7%	9.4%	Double-stranded RNA-binding protein Staufen homolog 2 (Fragment) OS=Homo sapiens GN=STAU2 PE=2 SV=1 	2	1_1_	1_1_
P	tr|B4DNJ6|B4DNJ6_HUMAN	15	13	4.4171474E-4	6.5350014E-4	1.6546056	0.94536006	19	18	42.4%	28.9%	Serine-threonine kinase receptor-associated protein OS=Homo sapiens GN=STRAP PE=2 SV=1 	2	1_1_	1_1_
P	tr|G8JLD3|G8JLD3_HUMAN	15	17	1.3987419E-4	2.3057041E-4	0.33659554	0.39958727	18	19	12.6%	14.6%	ELKS/Rab6-interacting/CAST family member 1 OS=Homo sapiens GN=ERC1 PE=2 SV=1 	2	1_1_	1_1_
P	Q86UV5-2	0	5	0	6.7034176E-5	0	0.14815366	0	5	0	6.0%	Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 48 OS=Homo sapiens GN=USP48 	1	0_1_	0_1_
P	tr|B4DLV4|B4DLV4_HUMAN	0	4	0	1.292051E-4	0	0.08143401	0	4	0	3.4%	Serine hydroxymethyltransferase OS=Homo sapiens GN=SHMT2 PE=2 SV=1 	1	0_1_	0_1_
P	tr|F8VV56|F8VV56_HUMAN	1	0	5.8200523E-5	0	0.21059811	0	1	0	8.3%	0	CD63 antigen OS=Homo sapiens GN=CD63 PE=2 SV=1 	1	1_0_	1_0_
P	P60228	7	1	1.8964216E-4	5.92311E-5	0.30918193	0.10407865	10	2	11.7%	4.3%	Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens GN=EIF3E PE=1 SV=1 	2	1_1_	1_1_
P	Q6NUK1-2	10	1	3.132408E-4	2.8774934E-5	0.42232883	0.11686325	17	1	15.3%	4.8%	Isoform 2 of Calcium-binding mitochondrial carrier protein SCaMC-1 OS=Homo sapiens GN=SLC25A24 	2	1_1_	1_1_
P	tr|K7ELW0|K7ELW0_HUMAN	0	5	0	3.8990888E-4	0	0.7498466	0	5	0	24.3%	Protein DJ-1 OS=Homo sapiens GN=PARK7 PE=2 SV=1 	1	0_1_	0_1_
P	Q9H0X4-2	2	0	3.1255837E-5	0	0.10407865	0	2	0	4.3%	0	Isoform 2 of Protein ITFG3 OS=Homo sapiens GN=ITFG3 	1	1_0_	1_0_
P	tr|K7EP90|K7EP90_HUMAN	0	1	0	2.8774934E-5	0	0.08893013	0	1	0	3.7%	RNA-binding protein 42 OS=Homo sapiens GN=RBM42 PE=2 SV=1 	1	0_1_	0_1_
P	tr|E9PM92|E9PM92_HUMAN	8	0	5.4096646E-4	0	0.9724227	0	10	0	29.5%	0	Small acidic protein (Fragment) OS=Homo sapiens GN=C11orf58 PE=2 SV=1 	1	1_0_	1_0_
P	tr|E9PEV0|E9PEV0_HUMAN	3	0	7.671887E-5	0	0.12201846	0	6	0	5.0%	0	Gamma-secretase C-terminal fragment 59 OS=Homo sapiens GN=APP PE=2 SV=1 	1	1_0_	1_0_
P	Q9UFN0	16	8	9.2249014E-4	5.335595E-4	1.3550494	0.4927944	27	10	37.2%	17.4%	Protein NipSnap homolog 3A OS=Homo sapiens GN=NIPSNAP3A PE=1 SV=2 	2	1_1_	1_1_
P	tr|E9PQ68|E9PQ68_HUMAN	3	1	2.123038E-4	1.6577257E-4	0.6595869	0.39636838	4	2	22.0%	14.5%	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial OS=Homo sapiens GN=NDUFB8 PE=2 SV=1 	2	1_1_	1_1_
P	Q8IXB1-2	9	1	1.12972906E-4	1.7642462E-5	0.25892544	0.044720173	10	1	10.0%	1.9%	Isoform 2 of DnaJ homolog subfamily C member 10 OS=Homo sapiens GN=DNAJC10 	2	1_1_	1_1_
P	tr|K7EM73|K7EM73_HUMAN	9	0	7.248286E-4	0	2.723917	0	14	0	57.1%	0	Calpain small subunit 1 (Fragment) OS=Homo sapiens GN=CAPNS1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|H3BMM5|H3BMM5_HUMAN	5	1	7.843007E-5	2.4496134E-5	0.6218101	0.071519256	5	1	21.0%	3.0%	Uncharacterized protein OS=Homo sapiens PE=4 SV=1 	2	1_1_	1_1_
P	tr|D3DQV9|D3DQV9_HUMAN	13	9	1.4887015E-4	1.3077208E-4	0.41579378	0.30918193	16	9	15.1%	11.7%	Eukaryotic translation initiation factor 4 gamma 2 (Fragment) OS=Homo sapiens GN=EIF4G2 PE=2 SV=1 	2	1_1_	1_1_
P	tr|E7ETU6|E7ETU6_HUMAN	1	0	6.1599094E-5	0	0.22461617	0	1	0	8.8%	0	Stromal membrane-associated protein 1 OS=Homo sapiens GN=SMAP1 PE=2 SV=1 	1	1_0_	1_0_
P	P31153	2	0	4.2729498E-5	0	0.17760599	0	2	0	7.1%	0	S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens GN=MAT2A PE=1 SV=1 	1	1_0_	1_0_
P	tr|C9J5N1|C9J5N1_HUMAN	1	0	1.704864E-5	0	0.09144032	0	1	0	3.8%	0	Protein PTGES3L-AARSD1 OS=Homo sapiens GN=PTGES3L-AARSD1 PE=2 SV=1 	1	1_0_	1_0_
P	Q09028-2	0	7	0	3.1082358E-4	0	1.0796967	0	10	0	31.8%	Isoform 2 of Histone-binding protein RBBP4 OS=Homo sapiens GN=RBBP4 	1	0_1_	0_1_
P	Q09028-3	0	7	0	3.2143705E-4	0	1.133045	0	10	0	32.9%	Isoform 3 of Histone-binding protein RBBP4 OS=Homo sapiens GN=RBBP4 	1	0_1_	0_1_
P	P02533	2	4	5.3638192E-5	1.1168576E-4	0.16412604	0.21059811	3	4	6.6%	8.3%	Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4 	2	1_1_	1_1_
P	P31146	0	9	0	4.2881517E-4	0	0.38356638	0	15	0	14.1%	Coronin-1A OS=Homo sapiens GN=CORO1A PE=1 SV=4 	1	0_1_	0_1_
P	tr|H0YEY8|H0YEY8_HUMAN	4	0	1.9625758E-4	0	1.0941124	0	5	0	32.1%	0	Phosphatidylinositol-binding clathrin assembly protein (Fragment) OS=Homo sapiens GN=PICALM PE=4 SV=1 	1	1_0_	1_0_
P	P02545	0	4	0	9.923885E-5	0	0.10917485	0	5	0	4.5%	Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1 	1	0_1_	0_1_
P	tr|Q5JS74|Q5JS74_HUMAN	0	2	0	6.701145E-5	0	0.06905484	0	3	0	2.9%	Peripheral plasma membrane protein CASK OS=Homo sapiens GN=CASK PE=2 SV=1 	1	0_1_	0_1_
P	tr|F5H211|F5H211_HUMAN	1	0	2.2808314E-5	0	0.1324004	0	1	0	5.4%	0	Ataxin-3 OS=Homo sapiens GN=ATXN3 PE=2 SV=1 	1	1_0_	1_0_
P	P31150	113	58	0.0036437174	0.0025060584	4.3951063	3.6881337	193	85	73.2%	67.1%	Rab GDP dissociation inhibitor alpha OS=Homo sapiens GN=GDI1 PE=1 SV=2 	2	1_1_	1_1_
P	tr|C9J2U4|C9J2U4_HUMAN	2	0	7.512531E-5	0	0.17760599	0	3	0	7.1%	0	Chromosome 3 open reading frame 31, isoform CRA_f OS=Homo sapiens GN=TAMM41 PE=2 SV=1 	1	1_0_	1_0_
P	Q9UGQ3-2	1	0	1.8964216E-5	0	0.0519619	0	1	0	2.2%	0	Isoform 2 of Solute carrier family 2, facilitated glucose transporter member 6 OS=Homo sapiens GN=SLC2A6 	1	1_0_	1_0_
P	P08237-2	17	4	2.2534249E-4	7.0381415E-5	0.4927944	0.10662377	20	4	17.4%	4.4%	Isoform 2 of 6-phosphofructokinase, muscle type OS=Homo sapiens GN=PFKM 	2	1_1_	1_1_
P	P08237-3	17	4	1.9833316E-4	6.194557E-5	0.42232883	0.09395635	20	4	15.3%	3.9%	Isoform 3 of 6-phosphofructokinase, muscle type OS=Homo sapiens GN=PFKM 	2	1_1_	1_1_
P	tr|H0YL69|H0YL69_HUMAN	4	0	1.4303518E-4	0	0.72583795	0	4	0	23.7%	0	Proteasome subunit alpha type (Fragment) OS=Homo sapiens GN=PSMA4 PE=2 SV=1 	1	1_0_	1_0_
P	tr|F5GWE5|F5GWE5_HUMAN	7	0	3.1255838E-4	0	0.5848932	0	10	0	20.0%	0	Phosphatidylinositol transfer protein alpha isoform OS=Homo sapiens GN=PITPNA PE=2 SV=1 	1	1_0_	1_0_
P	tr|F5H8E5|F5H8E5_HUMAN	10	3	8.4138344E-5	3.9418504E-5	0.42560756	0.08143401	10	3	15.4%	3.4%	Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens GN=USP7 PE=2 SV=1 	2	1_1_	1_1_
P	tr|H0YDD4|H0YDD4_HUMAN	11	3	2.2903546E-4	1.3756701E-4	0.503142	0.07398939	13	5	17.7%	3.1%	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (Fragment) OS=Homo sapiens GN=DLAT PE=2 SV=1 	2	1_1_	1_1_
P	Q5T5P2-4	0	1	0	1.5218152E-5	0	0.03992021	0	1	0	1.7%	Isoform 4 of Sickle tail protein homolog OS=Homo sapiens GN=KIAA1217 	1	0_1_	0_1_
P	Q5T5P2-2	0	1	0	9.805744E-6	0	0.025651932	0	1	0	1.1%	Isoform 2 of Sickle tail protein homolog OS=Homo sapiens GN=KIAA1217 	1	0_1_	0_1_
P	Q5T5P2-3	0	1	0	8.995849E-6	0	0.023293018	0	1	0	1.0%	Isoform 3 of Sickle tail protein homolog OS=Homo sapiens GN=KIAA1217 	1	0_1_	0_1_
P	P99999	23	8	0.0023307926	0.0012551353	1.0183663	1.0183663	29	10	30.5%	30.5%	Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2 	2	1_1_	1_1_
P	Q9BR01	1	0	2.9715056E-5	0	0.18576872	0	1	0	7.4%	0	Sulfotransferase 4A1 OS=Homo sapiens GN=SULT4A1 PE=1 SV=2 	1	1_0_	1_0_
P	Q8WUY3-4	3	0	8.287146E-6	0	0.04712856	0	3	0	2.0%	0	Isoform 4 of Protein prune homolog 2 OS=Homo sapiens GN=PRUNE2 	1	1_0_	1_0_
P	Q8WUY3-2	3	0	8.19593E-6	0	0.04712856	0	3	0	2.0%	0	Isoform 2 of Protein prune homolog 2 OS=Homo sapiens GN=PRUNE2 	1	1_0_	1_0_
P	Q8WUY3-3	3	0	8.187978E-6	0	0.04712856	0	3	0	2.0%	0	Isoform 3 of Protein prune homolog 2 OS=Homo sapiens GN=PRUNE2 	1	1_0_	1_0_
P	Q5T5P2-8	0	1	0	1.4546269E-5	0	0.03992021	0	1	0	1.7%	Isoform 7 of Sickle tail protein homolog OS=Homo sapiens GN=KIAA1217 	1	0_1_	0_1_
P	Q14671-2	4	4	2.9050176E-5	5.6707915E-5	0.1428783	0.11173177	4	5	5.8%	4.6%	Isoform 2 of Pumilio homolog 1 OS=Homo sapiens GN=PUM1 	2	1_1_	1_1_
P	Q5T5P2-7	0	1	0	9.7694E-6	0	0.025651932	0	1	0	1.1%	Isoform 5 of Sickle tail protein homolog OS=Homo sapiens GN=KIAA1217 	1	0_1_	0_1_
P	Q14671-3	4	4	2.8414397E-5	5.5466833E-5	0.13762724	0.10917485	4	5	5.6%	4.5%	Isoform 3 of Pumilio homolog 1 OS=Homo sapiens GN=PUM1 	2	1_1_	1_1_
P	Q5T5P2-6	0	1	0	1.4140472E-5	0	0.037528396	0	1	0	1.6%	Isoform 6 of Sickle tail protein homolog OS=Homo sapiens GN=KIAA1217 	1	0_1_	0_1_
P	Q8TCD5	2	0	8.39709E-5	0	0.23026884	0	2	0	9.0%	0	5'(3')-deoxyribonucleotidase, cytosolic type OS=Homo sapiens GN=NT5C PE=1 SV=2 	1	1_0_	1_0_
P	tr|E5RHE9|E5RHE9_HUMAN	2	1	2.0093039E-4	1.04594605E-4	0.6069412	0.6069412	3	1	20.6%	20.6%	Inositol monophosphatase 1 OS=Homo sapiens GN=IMPA1 PE=2 SV=1 	2	1_1_	1_1_
P	tr|V9GZ56|V9GZ56_HUMAN	0	2	0	1.1074723E-4	0	0.20226443	0	2	0	8.0%	U6 snRNA-associated Sm-like protein LSm4 (Fragment) OS=Homo sapiens GN=LSM4 PE=4 SV=1 	1	0_1_	0_1_
P	Q9BQT9	1	0	8.8274855E-6	0	0.04231739	0	1	0	1.8%	0	Calsyntenin-3 OS=Homo sapiens GN=CLSTN3 PE=1 SV=1 	1	1_0_	1_0_
P	Q8TEX9-2	5	1	4.675388E-5	1.2168901E-5	0.1324004	0.023293018	6	1	5.4%	1.0%	Isoform 2 of Importin-4 OS=Homo sapiens GN=IPO4 	2	1_1_	1_1_
P	P63010-2	22	16	2.3072133E-4	2.3558532E-4	0.61808	0.38038433	26	17	20.9%	14.0%	Isoform 2 of AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 	2	1_1_	1_1_
P	P00395	2	0	3.2900884E-5	0	0.14815366	0	2	0	6.0%	0	Cytochrome c oxidase subunit 1 OS=Homo sapiens GN=MT-CO1 PE=1 SV=1 	1	1_0_	1_0_
P	P00390	7	0	1.7783494E-4	0	0.36772883	0	11	0	13.6%	0	Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR PE=1 SV=2 	1	1_0_	1_0_
P	tr|D6RBS5|D6RBS5_HUMAN	1	0	5.0232597E-5	0	0.27938128	0	1	0	10.7%	0	ELMO domain-containing protein 2 (Fragment) OS=Homo sapiens GN=ELMOD2 PE=2 SV=1 	1	1_0_	1_0_
P	tr|J3KP72|J3KP72_HUMAN	13	14	4.145511E-4	7.86111E-4	1.5763211	1.8575904	14	17	41.1%	45.6%	Protein-L-isoaspartate O-methyltransferase OS=Homo sapiens GN=PCMT1 PE=2 SV=1 	2	1_1_	1_1_
P	P63010-3	22	16	2.4933633E-4	2.5459277E-4	0.68267405	0.41579378	26	17	22.6%	15.1%	Isoform 3 of AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 	2	1_1_	1_1_
P	P00387	29	3	0.0012616559	1.3135136E-4	2.935501	0.31825674	45	3	59.5%	12.0%	NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3 PE=1 SV=3 	2	1_1_	1_1_
P	P00367	48	4	9.679227E-4	9.447254E-5	1.5003455	0.37404191	64	4	39.8%	13.8%	Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2 	2	1_1_	1_1_
P	P37802	44	31	0.0022900007	0.0023179005	2.2210689	2.8282475	54	35	50.8%	58.3%	Transgelin-2 OS=Homo sapiens GN=TAGLN2 PE=1 SV=3 	2	1_1_	1_1_
P	Q9BRF8	1	0	2.687604E-5	0	0.083926916	0	1	0	3.5%	0	Calcineurin-like phosphoesterase domain-containing protein 1 OS=Homo sapiens GN=CPPED1 PE=1 SV=3 	1	1_0_	1_0_
P	P00352	13	2	2.3582249E-4	5.261046E-5	0.6672472	0.071519256	14	2	22.2%	3.0%	Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2 	2	1_1_	1_1_
P	tr|H0YL72|H0YL72_HUMAN	13	0	4.589226E-4	0	0.55955243	0	18	0	19.3%	0	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Homo sapiens GN=IDH3A PE=2 SV=1 	1	1_0_	1_0_
P	Q00169	7	0	3.1255838E-4	0	0.5848932	0	10	0	20.0%	0	Phosphatidylinositol transfer protein alpha isoform OS=Homo sapiens GN=PITPNA PE=1 SV=2 	1	1_0_	1_0_
P	Q14344	4	0	1.3430891E-4	0	0.23879659	0	6	0	9.3%	0	Guanine nucleotide-binding protein subunit alpha-13 OS=Homo sapiens GN=GNA13 PE=1 SV=2 	1	1_0_	1_0_
P	Q9GZY8	13	0	4.6883756E-4	0	1.1677041	0	19	0	33.6%	0	Mitochondrial fission factor OS=Homo sapiens GN=MFF PE=1 SV=1 	1	1_0_	1_0_
P	Q9BRG1	4	1	2.3974649E-4	7.488023E-5	1.4660394	0.10917485	5	1	39.2%	4.5%	Vacuolar protein-sorting-associated protein 25 OS=Homo sapiens GN=VPS25 PE=1 SV=1 	2	1_1_	1_1_
P	tr|F5H5I6|F5H5I6_HUMAN	5	4	2.0981127E-4	2.1843513E-4	0.33045447	0.2647363	9	6	12.4%	10.2%	G-rich sequence factor 1 OS=Homo sapiens GN=GRSF1 PE=2 SV=1 	2	1_1_	1_1_
P	Q9GZZ9	2	0	4.1777603E-5	0	0.1271975	0	2	0	5.2%	0	Ubiquitin-like modifier-activating enzyme 5 OS=Homo sapiens GN=UBA5 PE=1 SV=1 	1	1_0_	1_0_
P	Q14353	3	0	1.07276384E-4	0	0.15877736	0	3	0	6.4%	0	Guanidinoacetate N-methyltransferase OS=Homo sapiens GN=GAMT PE=1 SV=1 	1	1_0_	1_0_
P	Q92614-2	20	5	1.0285583E-4	6.119057E-5	0.32434154	0.101539254	21	8	12.2%	4.2%	Isoform 2 of Unconventional myosin-XVIIIa OS=Homo sapiens GN=MYO18A 	2	1_1_	1_1_
P	Q8TCJ2	5	2	5.1083996E-5	3.191022E-5	0.1428783	0.09900582	5	2	5.8%	4.1%	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Homo sapiens GN=STT3B PE=1 SV=1 	2	1_1_	1_1_
P	Q92614-3	0	5	0	5.2663014E-5	0	0.08642566	0	8	0	3.6%	Isoform 3 of Unconventional myosin-XVIIIa OS=Homo sapiens GN=MYO18A 	1	0_1_	0_1_
